#{"t_start": 1672759768.8028452, "env_id": "TestEnvironment-v1"}
r,l,t
3.079466,200,2.987497
18.498913,200,9.974092
18.112942,200,18.189503
0.240613,200,25.298497
0.052624,200,32.953997
18.483606,200,39.607498
1.383156,200,47.378497
0.757857,200,54.535497
4.239432,200,61.7985
18.346066,200,69.729501
0.468387,200,77.447501
4.394597,200,84.541497
0.822331,200,91.479497
0.108111,200,98.416498
6.307999,200,105.982997
17.585911,200,114.401498
0.711608,200,121.783997
8.309585,200,128.751497
1.089094,200,136.553497
0.159971,200,144.495497
7.501511,200,151.467498
0.873411,200,158.527498
0.05379,200,166.548497
17.425921,200,174.116997
13.530422,200,181.628998
9.22536,200,189.067997
0.607646,200,196.210998
3.161633,200,203.880497
1.283066,200,212.534498
0.353273,200,219.791497
6.058468,200,226.864498
2.569671,200,233.866997
15.379069,200,241.195498
