#{"t_start": 1683635334.1691422, "env_id": "TestEnvironment-v1"}
r,l,t
0.167618,100,2.730575
0.244261,100,52.2621
0.224363,100,52.767052
0.521224,100,53.215167
1.231341,100,53.703643
0.184944,100,54.191638
0.127779,100,54.683392
0.018299,100,55.1589
0.736614,100,55.661096
0.713901,100,56.140782
0.061234,100,56.659596
0.291173,100,57.187422
0.357141,100,57.817601
1.849194,100,58.344788
1.837541,100,58.857937
1.58079,100,59.373621
4.046076,100,59.939844
1.548299,100,60.453346
0.170335,100,60.969973
0.134476,100,61.568985
5.162782,100,62.108416
0.25764,100,62.626061
1e-06,100,63.143845
10.513707,100,63.650119
21.651463,100,64.19085
9.526283,100,64.768485
64.357561,100,65.289408
9.355012,100,65.878129
0.004123,100,66.360891
9.252305,100,66.921362
2.026224,100,67.481136
14.522195,100,68.060623
58.367172,100,68.662813
4.459844,100,69.192384
8.48711,100,69.717193
0.29823,100,70.269459
8.443745,100,70.838361
2.852101,100,71.384403
9.271491,100,71.95776
3.024681,100,72.549705
3.95213,100,73.093821
81.84459,100,73.678374
5.389839,100,74.233421
3.754744,100,74.799977
0.853488,100,75.391368
13.996572,100,75.940848
0.254412,100,76.632517
0.019267,100,77.165199
0.005216,100,77.626702
0.00467,100,78.101634
0.02156,100,78.593922
0.040269,100,79.063439
0.000182,100,79.553003
0.402689,100,80.009004
0.745007,100,80.490677
72.77758,100,81.037874
0.327789,100,81.51617
0.389928,100,81.99418
0.857794,100,82.463379
0.809206,100,82.999877
44.533969,100,83.506895
74.966651,100,83.992317
88.514462,100,84.491003
0.076236,100,85.084352
0.082581,100,85.705683
0.026623,100,86.296577
0.171547,100,86.791855
0.008063,100,87.292424
1.274909,100,87.798104
0.398977,100,88.314824
18.94332,100,88.86989
2.257924,100,89.392486
0.936078,100,89.883224
6.947254,100,90.386242
2.712491,100,90.870945
0.095647,100,91.37628
0.02168,100,91.850506
0.000173,100,92.319088
69.715803,100,92.855627
1.42061,100,93.362744
0.191735,100,93.86771
0.22837,100,94.342544
2.681465,100,94.948089
15.942358,100,95.638401
6.144706,100,96.261485
0.026062,100,96.83094
25.632501,100,97.390395
0.124261,100,97.93301
17.063739,100,98.516901
0.185902,100,99.001418
68.881076,100,99.513418
16.485864,100,100.053064
0.652231,100,100.524371
53.365759,100,101.017801
0.269117,100,101.482335
2.937287,100,101.934129
0.28537,100,102.409375
38.27239,100,102.910082
0.027448,100,103.40482
0.015246,100,103.898616
0.253885,100,104.364445
9.25928,100,104.82212
33.106045,100,105.323478
0.459545,100,105.793635
0.829948,100,106.264801
2.028013,100,106.745599
4.866526,100,107.208955
9.788132,100,107.669126
89.027884,100,108.175732
7.101834,100,108.691828
1.391849,100,109.153266
29.024008,100,109.741249
5.362406,100,110.35694
2.212734,100,110.938011
1.182545,100,111.462172
0.844391,100,111.936456
5.261624,100,112.415714
26.769297,100,112.930073
7.30627,100,113.38871
2.501068,100,113.86753
6.798413,100,114.397466
11.533467,100,114.854893
5.26134,100,115.337003
1.706213,100,115.802702
6.189764,100,116.273537
0.942665,100,116.760897
1.85374,100,117.233577
4.749139,100,117.711581
4.152449,100,118.195026
0.677431,100,118.681483
53.85314,100,119.170252
51.445988,100,119.680999
0.797052,100,120.161118
5.674242,100,120.673384
12.004725,100,121.265151
1.147885,100,121.848917
35.401008,100,122.430332
5.182799,100,123.014872
35.189424,100,123.520451
16.226431,100,124.162418
27.765189,100,124.676584
36.184935,100,125.229076
3.176932,100,125.716375
10.878065,100,126.193884
7.203975,100,126.666188
7.976425,100,127.131516
1.897984,100,127.648079
15.190467,100,128.153948
8.430565,100,128.661009
13.123982,100,129.187848
18.116359,100,129.754208
0.135666,100,130.345547
6.7475,100,130.840555
19.549654,100,131.493597
14.70983,100,131.983398
3.387186,100,132.463279
15.702134,100,132.958095
4.270982,100,133.460547
60.284549,100,133.946378
12.502788,100,134.4733
21.845603,100,134.995487
2.781796,100,135.515294
26.718722,100,136.027203
52.742133,100,136.516854
4.933271,100,137.02549
20.088027,100,137.504521
17.298367,100,138.020854
19.514313,100,138.524603
23.779393,100,139.065111
31.297981,100,139.578983
30.587829,100,140.100921
19.563353,100,140.624382
19.95312,100,141.136519
