#{"t_start": 1677142988.008331, "env_id": "TestEnvironment-v1"}
r,l,t
0.695228,100,2.657543
0.193868,100,50.801921
1.397486,100,51.142896
0.429336,100,51.495688
1.996067,100,51.8712
3.530956,100,52.223191
0.781287,100,52.570093
6.3027,100,52.920609
13.426804,100,53.266964
41.599176,100,53.613492
2.332395,100,53.943513
49.715209,100,54.289251
33.51766,100,54.629964
47.786655,100,54.978297
0.025543,100,55.338388
61.427903,100,55.711362
15.643282,100,56.064435
5.956541,100,56.469305
0.116221,100,56.838781
12.154753,100,57.187201
17.380527,100,57.540772
65.086481,100,57.895898
8.133975,100,58.245095
73.050671,100,58.606286
0.209105,100,58.949982
1.036669,100,59.271496
14.220847,100,59.610266
59.451695,100,59.962193
34.307878,100,60.305591
3.322377,100,60.650827
0.317166,100,61.02079
0.414405,100,61.441093
3.416652,100,61.820719
5.346583,100,62.229093
79.822331,100,62.614528
6.548959,100,62.981417
0.469763,100,63.353009
27.104074,100,63.717098
70.481593,100,64.098366
43.004864,100,64.505962
26.958902,100,64.926564
77.117335,100,65.360479
12.070697,100,65.759953
5.702706,100,66.105565
47.765554,100,66.499566
37.502905,100,66.862031
59.110234,100,67.245144
24.986077,100,67.6037
56.109055,100,67.969165
69.640779,100,68.327268
31.951283,100,68.698062
2.457405,100,69.051547
70.836126,100,69.409593
23.652537,100,69.753382
17.103114,100,70.108788
2.696983,100,70.475402
75.108069,100,70.880158
8.156672,100,71.25231
3.407955,100,71.596222
1.018155,100,71.947385
71.122379,100,72.312583
43.020781,100,72.664022
81.875326,100,73.037046
72.648933,100,73.384818
43.227468,100,73.736564
4.549936,100,74.114109
16.511476,100,74.494002
29.926373,100,74.866625
52.009773,100,75.242807
54.404059,100,75.592243
49.046696,100,75.941
77.58646,100,76.30817
53.973867,100,76.680029
39.486165,100,77.078163
26.241632,100,77.591939
44.680161,100,78.055863
59.645338,100,78.565237
75.554033,100,79.008035
81.33637,100,79.415881
64.236481,100,79.792011
50.558663,100,80.165901
43.925686,100,80.52569
27.149423,100,80.893334
23.462173,100,81.275726
81.702178,100,81.691223
42.387411,100,82.062861
50.242066,100,82.511144
60.396363,100,82.959695
81.251441,100,83.332038
