#{"t_start": 1677146291.60092, "env_id": "TestEnvironment-v1"}
r,l,t
0.000856,100,2.600223
0.578353,100,50.878026
1.201968,100,51.180949
3.456891,100,51.500087
0.235331,100,51.786778
2.859504,100,52.081899
1.967876,100,52.380267
0.148265,100,52.672221
0.747793,100,52.952354
0.268236,100,53.252743
1.487884,100,53.547617
2.050485,100,53.841116
4.477142,100,54.116886
0.398749,100,54.420205
9.864726,100,54.729436
0.497268,100,55.018391
22.606379,100,55.30193
59.859631,100,55.573136
33.401767,100,55.83425
1.880486,100,56.134381
72.840246,100,56.405457
72.180424,100,56.688627
55.940218,100,56.959697
10.945002,100,57.224343
67.516687,100,57.494122
66.430676,100,57.772183
4.055399,100,58.064847
38.827869,100,58.349394
25.920672,100,58.624762
13.844662,100,58.89598
6.37697,100,59.167342
0.499275,100,59.4515
11.042254,100,59.730028
20.275416,100,59.995588
5.456672,100,60.260384
13.315098,100,60.530495
67.390024,100,60.799018
70.266351,100,61.074142
20.409559,100,61.345319
14.374529,100,61.610805
67.417127,100,61.885098
42.895299,100,62.157031
72.234241,100,62.435925
73.123376,100,62.710809
36.109931,100,62.980657
17.384076,100,63.252816
41.35766,100,63.57037
66.662978,100,63.838807
16.503713,100,64.109453
67.133738,100,64.380383
60.203583,100,64.651351
70.856392,100,64.929533
49.5192,100,65.209342
42.679821,100,65.496759
61.324966,100,65.765242
18.798963,100,66.039968
29.253674,100,66.30517
70.286371,100,66.580498
61.513886,100,66.849291
65.579197,100,67.115418
35.658529,100,67.415437
69.686885,100,67.705852
68.331957,100,68.002405
45.433369,100,68.266203
70.770675,100,68.546593
47.141911,100,68.904482
73.148594,100,69.238627
40.242714,100,69.513267
65.204506,100,69.784351
30.052416,100,70.054802
57.376939,100,70.336189
59.653004,100,70.615501
26.711685,100,70.887886
25.551593,100,71.157923
71.469847,100,71.427006
41.880783,100,71.694486
55.570712,100,71.992697
65.313405,100,72.287659
70.651213,100,72.56254
40.00118,100,72.833395
30.613072,100,73.099394
10.305624,100,73.369216
66.289504,100,73.650335
58.366735,100,73.933131
64.558085,100,74.20013
62.532249,100,74.480224
73.998131,100,74.76516
60.925165,100,75.034925
57.880875,100,75.309215
46.911924,100,75.580432
59.563017,100,75.868706
66.742039,100,76.213796
64.525712,100,76.516285
64.245678,100,76.902882
72.009712,100,77.22614
0.227807,100,77.531764
68.470931,100,77.864319
61.561846,100,78.148646
64.407614,100,78.469305
31.570578,100,78.752678
54.223328,100,79.043466
61.674053,100,79.343803
72.365875,100,79.682964
62.664686,100,79.989586
64.531491,100,80.28976
72.601942,100,80.62424
61.152857,100,80.899262
20.833403,100,81.165758
6e-06,100,81.452185
67.804074,100,81.74336
73.27192,100,82.001339
69.019892,100,82.279039
70.40824,100,82.56783
63.105891,100,82.832301
34.331098,100,83.098539
67.588122,100,83.396286
52.532218,100,83.669409
63.34468,100,83.945482
75.749883,100,84.241365
0.921096,100,84.545539
63.475193,100,84.873567
71.625079,100,85.162819
0.666298,100,85.486156
71.548754,100,85.749793
32.128352,100,86.02171
63.58612,100,86.296429
63.309104,100,86.600452
74.524662,100,86.877973
63.377701,100,87.149617
72.765331,100,87.43024
61.900748,100,87.716474
45.868844,100,87.984238
65.511093,100,88.25366
70.854736,100,88.553643
70.301311,100,88.830936
70.056396,100,89.103462
69.959121,100,89.387712
71.250946,100,89.681991
73.030524,100,89.967408
0.083266,100,90.262014
70.22152,100,90.549119
4.022162,100,90.831919
71.601881,100,91.115373
71.909095,100,91.396846
7.798066,100,91.666048
68.401437,100,91.940485
71.122185,100,92.21352
6.436984,100,92.508994
0.329324,100,92.792355
0.513167,100,93.065074
66.335526,100,93.403917
1.317176,100,93.685572
16.756313,100,93.974972
65.91378,100,94.28233
67.486992,100,94.602524
70.528515,100,94.937619
71.231473,100,95.270857
12.966257,100,95.553895
71.918858,100,95.839269
61.235593,100,96.101642
72.378432,100,96.401848
63.783637,100,96.733956
57.192793,100,97.05723
73.960247,100,97.340921
71.941955,100,97.601505
