#{"t_start": 1673880204.1853688, "env_id": "TestEnvironment-v1"}
r,l,t
2.456468,100,2.692607
37.768663,100,48.753854
36.973902,100,49.119031
36.990921,100,49.477513
39.764866,100,49.833599
8.426532,100,50.194901
9.251075,100,50.564172
4.525432,100,50.927089
5.782854,100,51.287489
4.373078,100,51.649024
52.131082,100,52.041456
11.16784,100,52.414082
40.130487,100,52.772473
38.432965,100,53.126708
29.071711,100,53.488355
21.582712,100,53.911592
4.6812,100,54.279777
26.586746,100,54.635624
40.826986,100,55.016511
11.191181,100,55.384841
10.770521,100,55.786092
6.426517,100,56.156101
9.799368,100,56.515409
47.43001,100,56.87078
22.766689,100,57.228903
24.872539,100,57.587624
17.755254,100,57.943821
14.344688,100,58.294976
9.423575,100,58.644046
31.39676,100,59.008725
40.537358,100,59.366445
34.235747,100,59.737615
8.627029,100,60.113288
32.923499,100,60.462163
33.392722,100,60.817749
12.909952,100,61.17683
38.388711,100,61.589096
42.830233,100,61.95735
33.620571,100,62.384022
9.024418,100,62.747451
21.529299,100,63.10444
31.028355,100,63.47936
13.652554,100,63.854472
46.137078,100,64.213059
39.655677,100,64.566844
9.973822,100,64.916824
43.456031,100,65.288449
15.960821,100,65.673318
37.789268,100,66.06316
36.943994,100,66.427685
45.15336,100,66.79067
9.741804,100,67.148643
44.868945,100,67.506162
49.107552,100,67.860644
8.392482,100,68.21893
31.764314,100,68.56907
20.599221,100,68.929439
50.915728,100,69.293118
53.605675,100,69.683642
9.287632,100,70.07321
15.683762,100,70.426705
42.038527,100,70.783511
33.553483,100,71.14081
11.893704,100,71.49328
26.376478,100,71.878288
30.092868,100,72.277864
13.04013,100,72.644768
42.3176,100,73.020527
51.769567,100,73.415831
48.837236,100,73.778511
19.33359,100,74.153339
34.191383,100,74.515919
40.327486,100,74.981438
45.606925,100,75.405396
18.519484,100,75.762971
44.925734,100,76.16263
49.307094,100,76.562298
18.755614,100,76.928405
11.756555,100,77.288749
48.703869,100,77.664317
46.814285,100,78.034148
52.906411,100,78.402677
48.953772,100,78.787213
52.30153,100,79.199281
48.525503,100,79.582984
51.726715,100,79.930214
12.740419,100,80.280911
45.841531,100,80.752778
50.375856,100,81.146992
53.716299,100,81.532857
43.597083,100,81.926595
44.678335,100,82.337006
40.2348,100,82.682473
42.380686,100,83.036783
50.726374,100,83.376913
56.160746,100,83.758428
34.369184,100,84.137134
34.18508,100,84.627756
28.359449,100,84.986455
57.231016,100,85.339308
60.513197,100,85.703966
48.50041,100,86.053498
49.559429,100,86.400887
52.412612,100,86.750114
26.910803,100,87.116944
43.693907,100,87.550368
23.95608,100,87.911391
57.079017,100,88.25139
56.801168,100,88.608102
51.567008,100,88.988651
58.721838,100,89.476208
25.360843,100,89.912464
65.019302,100,90.30147
50.538651,100,90.654644
33.128206,100,91.004272
33.587346,100,91.360685
62.671711,100,91.725988
57.556119,100,92.080534
58.942331,100,92.449566
31.715517,100,92.817451
29.219865,100,93.173178
67.027653,100,93.560919
54.898925,100,93.90712
73.852308,100,94.287804
45.857468,100,94.652902
65.03438,100,95.00567
72.103583,100,95.354708
55.981901,100,95.730057
57.462551,100,96.098839
76.90918,100,96.486217
46.273116,100,96.855843
33.431187,100,97.207292
52.802527,100,97.57216
42.739349,100,97.989073
50.998003,100,98.384061
35.954975,100,98.806924
53.909381,100,99.158863
55.988391,100,99.522421
55.848943,100,99.878732
85.993633,100,100.260413
85.506543,100,100.654565
71.898722,100,101.033762
43.559439,100,101.413241
39.803629,100,101.77425
56.814786,100,102.132103
48.56731,100,102.488646
50.363702,100,102.849987
91.613876,100,103.279252
72.092621,100,103.647881
48.289952,100,103.997077
85.475187,100,104.376484
71.813773,100,104.760571
58.044379,100,105.160429
64.280085,100,105.514957
68.874109,100,105.860355
50.147421,100,106.241114
50.716813,100,106.583271
64.831439,100,106.926958
54.161545,100,107.280849
39.182171,100,107.625773
55.34332,100,107.973484
62.034946,100,108.316713
59.919256,100,108.668521
41.780849,100,109.008075
64.664588,100,109.348519
67.150748,100,109.724817
49.054588,100,110.08074
88.622633,100,110.494585
39.808708,100,110.895051
55.605524,100,111.263236
62.832036,100,111.629153
61.322023,100,112.021694
46.656729,100,112.373369
55.836703,100,112.718125
69.654498,100,113.080499
53.582213,100,113.555534
45.863203,100,114.021471
68.116761,100,114.488678
48.542242,100,114.870079
67.679469,100,115.215196
59.874953,100,115.574529
94.016584,100,115.99322
57.239472,100,116.347236
73.43127,100,116.703947
94.07148,100,117.073224
94.450525,100,117.475963
55.914928,100,117.819438
92.412723,100,118.211648
48.105177,100,118.59226
52.210219,100,118.958443
71.540993,100,119.315393
49.218181,100,119.709082
59.691318,100,120.107145
72.160982,100,120.516181
59.358329,100,120.882835
43.067982,100,121.248906
